Dataset,Rows,Columns,Memory (MB)
BBL_ball_by_ball,"143,323",24,137.04
BBL_batting_innings,"9,606",12,2.99
BBL_bowling_innings,"7,279",16,2.11
BBL_matches,618,19,0.64
BBL_partnerships,"8,559",7,2.46
BBL_players,"13,644",3,2.59
IPL_ball_by_ball,"278,205",24,263.79
IPL_batting_innings,"17,708",12,5.54
IPL_bowling_innings,"13,878",16,4.03
IPL_matches,"1,169",19,1.22
IPL_partnerships,"15,689",7,4.53
IPL_players,"26,137",3,5.00
ODIs_ball_by_ball,"1,314,002",24,1237.15
ODIs_batting_innings,"43,204",12,13.15
ODIs_bowling_innings,"29,690",16,8.38
ODIs_matches,"2,478",19,2.50
ODIs_partnerships,"38,774",7,10.93
ODIs_players,"54,626",3,10.00
T20s_ball_by_ball,"670,092",24,636.56
T20s_batting_innings,"47,597",12,14.48
T20s_bowling_innings,"35,208",16,9.93
T20s_matches,"2,964",19,2.99
T20s_partnerships,"42,332",7,11.94
T20s_players,"65,214",3,11.92
Tests_ball_by_ball,"1,657,963",24,1543.13
Tests_batting_innings,"31,325",12,9.50
Tests_bowling_innings,"16,890",16,4.75
Tests_matches,858,19,0.86
Tests_partnerships,"28,269",7,7.94
Tests_players,"18,898",3,3.45
