venue,total_matches,avg_score,avg_wickets,boundary_pct,dot_ball_pct,pace_wicket_pct,spin_wicket_pct,toss_win_match_pct,bat_first_win_pct
Sydney Showground Stadium,37,376.22222222222223,16.51851851851852,14.17215252763632,34.9273382188548,0,0,54.054054054054056,57.14285714285714
Adelaide Oval,142,705.8285714285714,27.17142857142857,15.636105188343993,32.31643977912634,0,0,46.478873239436616,49.43820224719101
Docklands Stadium,49,551.0,22.166666666666668,13.656090269071269,34.08236088340245,0,0,57.14285714285714,57.14285714285714
Sydney Cricket Ground,155,629.6333333333333,26.5,14.194697540590532,33.534287867370004,0,0,49.03225806451613,51.61290322580645
Western Australia Cricket Association Ground,64,1263.5714285714287,50.142857142857146,14.351057747284163,35.02001143510577,0,0,48.4375,50.0
Bellerive Oval,71,578.1666666666666,22.0,15.88310038119441,31.531619587528105,0,0,57.74647887323944,67.64705882352942
"Brisbane Cricket Ground, Woolloongabba",82,555.6666666666666,21.285714285714285,15.048037967357333,33.18671142493344,0,0,40.243902439024396,37.254901960784316
Melbourne Cricket Ground,149,673.09375,27.28125,13.516242057129283,32.20500029692975,0,0,51.006711409395976,44.776119402985074
W.A.C.A. Ground,11,318.4,10.4,15.53556827473426,34.26001635322976,0,0,45.45454545454545,25.0
Aurora Stadium,7,254.0,11.142857142857142,12.880396319886767,33.68719037508846,0,0,57.14285714285714,0.0
"Simonds Stadium, South Geelong, Victoria",4,300.0,10.75,13.669821240799159,32.3869610935857,0,0,50.0,0.0
Traeger Park,2,229.5,16.5,6.369426751592357,40.12738853503185,0,0,100.0,100.0
Manuka Oval,29,422.07142857142856,15.714285714285714,15.887415678064668,32.449406838799725,0,0,55.172413793103445,64.28571428571429
Perth Stadium,56,428.23333333333335,17.6,15.494697827653662,34.03685781941728,0,0,46.42857142857143,48.148148148148145
Carrara Oval,20,390.7142857142857,16.928571428571427,14.74065138721351,33.0518697225573,0,0,50.0,50.0
Geelong Cricket Ground,1,283.0,14.0,14.347826086956522,38.26086956521739,0,0,0.0,0.0
Ted Summerton Reserve,2,282.0,13.0,13.247863247863249,34.18803418803419,0,0,50.0,100.0
International Sports Stadium,1,356.0,9.0,18.181818181818183,30.991735537190085,0,0,0.0,0.0
Brisbane Cricket Ground,10,307.1666666666667,14.0,13.197278911564625,32.7891156462585,0,0,30.0,28.57142857142857
"Manuka Oval, Canberra",12,306.5,14.375,14.181438998957246,33.05526590198123,0,0,41.66666666666667,0.0
"Docklands Stadium, Melbourne",25,394.35,16.0,15.235363590349248,35.12738316180192,0,0,56.00000000000001,45.45454545454545
"Aurora Stadium, Launceston",1,274.0,17.0,9.7165991902834,32.388663967611336,0,0,0.0,0.0
"Bellerive Oval, Hobart",34,345.10526315789474,13.894736842105264,15.245635403978888,32.25740966301259,0,0,44.11764705882353,37.5
"Brisbane Cricket Ground, Woolloongabba, Brisbane",30,350.22222222222223,14.222222222222221,15.607313887679583,31.018720069656077,0,0,56.666666666666664,81.81818181818183
"GMHBA Stadium, South Geelong, Victoria",13,223.57142857142858,11.428571428571429,12.583767684288905,38.42144452717796,0,0,46.15384615384615,50.0
"Junction Oval, Melbourne",2,353.5,16.5,18.480492813141684,35.318275154004105,0,0,100.0,100.0
"International Sports Stadium, Coffs Harbour",3,298.3333333333333,12.0,13.352685050798257,32.365747460087086,0,0,33.33333333333333,0.0
"Cazaly's Stadium, Cairns",6,310.0,13.0,11.693548387096774,32.66129032258064,0,0,33.33333333333333,0.0
"University of Tasmania Stadium, Launceston",3,282.6666666666667,15.0,11.653116531165312,37.669376693766935,0,0,33.33333333333333,50.0
"Lavington Sports Oval, Albury",2,371.0,15.5,18.200836820083683,26.569037656903767,0,0,0.0,0.0
"North Sydney Oval, Sydney",1,147.0,6.0,27.160493827160494,32.098765432098766,0,0,0.0,0.0
Stadium Australia,17,3644.0,160.0,13.09405117979395,37.52077102027251,0,0,41.17647058823529,44.44444444444444
